original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"Untuk kritikan tidak ada karena pembicara, moderator, dan mc sangat bagus sekali karena bisa membangun suasana aktif peserta, saran dari aku kedepannya FKBMIK harus lebih menarik lagi dalam kegiatannya		",Untuk kritikan tidak ada karena pembicara moderator dan mc sangat bagus sekali karena bisa membangun suasana aktif peserta saran dari aku kedepannya FKBMIK harus lebih menarik lagi dalam kegiatannya,untuk kritikan tidak ada karena pembicara moderator dan mc sangat bagus sekali karena bisa membangun suasana aktif peserta saran dari aku kedepannya fkbmik harus lebih menarik lagi dalam kegiatannya,"['untuk', 'kritikan', 'tidak', 'ada', 'karena', 'pembicara', 'moderator', 'dan', 'mc', 'sangat', 'bagus', 'sekali', 'karena', 'bisa', 'membangun', 'suasana', 'aktif', 'peserta', 'saran', 'dari', 'aku', 'kedepannya', 'fkbmik', 'harus', 'lebih', 'menarik', 'lagi', 'dalam', 'kegiatannya']","['untuk', 'kritik', 'tidak', 'ada', 'karena', 'narasumber', 'moderator', 'dan', 'mc', 'sangat', 'keren', 'sekali', 'karena', 'bisa', 'membangun', 'suasana', 'aktif', 'peserta', 'usulan', 'dari', 'saya', 'ke depannya', 'fkbmik', 'harus', 'lebih', 'seru', 'lagi', 'dalam', 'acara']","['kritik', 'narasumber', 'moderator', 'mc', 'keren', 'sekali', 'membangun', 'suasana', 'aktif', 'peserta', 'usulan', 'ke depannya', 'fkbmik', 'seru', 'acara']",kritik narasumber moderator mc keren sekali membangun suasana aktif peserta usulan ke depannya fkbmik seru acara,1,Kesuksesan Acara,Positif,,,,,,,
"belum ada kritik dan saran yang bisa diberikan karena acaranya seru		",belum ada kritik dan saran yang bisa diberikan karena acaranya seru,belum ada kritik dan saran yang bisa diberikan karena acaranya seru,"['belum', 'ada', 'kritik', 'dan', 'saran', 'yang', 'bisa', 'diberikan', 'karena', 'acaranya', 'seru']","['belum', 'ada', 'kritik', 'dan', 'usulan', 'yang', 'bisa', 'diberikan', 'karena', 'acara', 'seru']","['kritik', 'usulan', 'diberikan', 'acara', 'seru']",kritik usulan diberikan acara seru,1,Kesuksesan Acara,Positif,,,,,,,
"semoga kedepannya lebih baik lagi :)		",semoga kedepannya lebih baik lagi,semoga kedepannya lebih baik lagi,"['semoga', 'kedepannya', 'lebih', 'baik', 'lagi']","['semoga', 'ke depannya', 'lebih', 'baik', 'lagi']","['semoga', 'ke depannya', 'baik']",semoga ke depannya baik,1,Kesuksesan Acara,Negatif,,,,,,,
"Sudah keren dan Bagus		",Sudah keren dan Bagus,sudah keren dan bagus,"['sudah', 'keren', 'dan', 'bagus']","['sudah', 'keren', 'dan', 'keren']","['keren', 'keren']",keren keren,1,Kesuksesan Acara,Positif,,,,,,,
"Terus semangat dan berkembang menjadi lebih baik.		",Terus semangat dan berkembang menjadi lebih baik,terus semangat dan berkembang menjadi lebih baik,"['terus', 'semangat', 'dan', 'berkembang', 'menjadi', 'lebih', 'baik']","['terus', 'semangat', 'dan', 'tumbuh', 'menjadi', 'lebih', 'baik']","['terus', 'semangat', 'tumbuh', 'menjadi', 'baik']",terus semangat tumbuh menjadi baik,3,Harapan Acara,Positif,,,,,,,
"gaada, acaranya kerennn		",gaada acaranya keren,gaada acaranya keren,"['gaada', 'acaranya', 'keren']","['tidak ada', 'acara', 'keren']","['acara', 'keren']",acara keren,1,Kesuksesan Acara,Positif,,,,,,,
"semangattt untuk acara selanjuttnya, udaa kerenn bgtt <3		",semangat untuk acara selanjuttnya udaa kerenn bgtt,semangat untuk acara selanjuttnya udaa kerenn bgtt,"['semangat', 'untuk', 'acara', 'selanjuttnya', 'udaa', 'kerenn', 'bgtt']","['semangat', 'untuk', 'acara', 'lanjut', 'sudah', 'keren', 'banget']","['semangat', 'acara', 'lanjut', 'keren', 'banget']",semangat acara lanjut keren banget,1,Kesuksesan Acara,Positif,,,,,,,
"Semoga terlaksana kembali acara ini ditahun depan		",Semoga terlaksana kembali acara ini ditahun depan,semoga terlaksana kembali acara ini ditahun depan,"['semoga', 'terlaksana', 'kembali', 'acara', 'ini', 'ditahun', 'depan']","['semoga', 'terlaksana', 'kembali', 'acara', 'ini', 'waktu', 'depan']","['semoga', 'terlaksana', 'acara', 'waktu', 'depan']",semoga terlaksana acara waktu depan,3,Harapan Acara,Positif,,,,,,,
"Acara bagus semoga bisa lebih baik lagi kedepannya		",Acara bagus semoga bisa lebih baik lagi kedepannya,acara bagus semoga bisa lebih baik lagi kedepannya,"['acara', 'bagus', 'semoga', 'bisa', 'lebih', 'baik', 'lagi', 'kedepannya']","['acara', 'keren', 'semoga', 'bisa', 'lebih', 'baik', 'lagi', 'ke depannya']","['acara', 'keren', 'semoga', 'baik', 'ke depannya']",acara keren semoga baik ke depannya,1,Kesuksesan Acara,Positif,,,,,,,
"Acara berjalan baik dan bermanfaat		",Acara berjalan baik dan bermanfaat,acara berjalan baik dan bermanfaat,"['acara', 'berjalan', 'baik', 'dan', 'bermanfaat']","['acara', 'terlaksana', 'baik', 'dan', 'bermanfaat']","['acara', 'terlaksana', 'baik', 'bermanfaat']",acara terlaksana baik bermanfaat,1,Kesuksesan Acara,Positif,,,,,,,
"acara berjalan baik sejauh ini		",acara berjalan baik sejauh ini,acara berjalan baik sejauh ini,"['acara', 'berjalan', 'baik', 'sejauh', 'ini']","['acara', 'terlaksana', 'baik', 'sejauh', 'ini']","['acara', 'terlaksana', 'baik', 'sejauh']",acara terlaksana baik sejauh,1,Kesuksesan Acara,Positif,,,,,,,
"Acara berjalan dengan baik		",Acara berjalan dengan baik,acara berjalan dengan baik,"['acara', 'berjalan', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"acara berjalan dengan baik, lancar, dan ilmu yang diberikan sangat bermanfaat. mungkin untuk kedepannya hanya lebih perlu interaktif dengan peserta		",acara berjalan dengan baik lancar dan ilmu yang diberikan sangat bermanfaat mungkin untuk kedepannya hanya lebih perlu interaktif dengan peserta,acara berjalan dengan baik lancar dan ilmu yang diberikan sangat bermanfaat mungkin untuk kedepannya hanya lebih perlu interaktif dengan peserta,"['acara', 'berjalan', 'dengan', 'baik', 'lancar', 'dan', 'ilmu', 'yang', 'diberikan', 'sangat', 'bermanfaat', 'mungkin', 'untuk', 'kedepannya', 'hanya', 'lebih', 'perlu', 'interaktif', 'dengan', 'peserta']","['acara', 'terlaksana', 'dengan', 'baik', 'sukses', 'dan', 'pengalaman', 'yang', 'diberikan', 'sangat', 'bermanfaat', 'mungkin', 'untuk', 'ke depannya', 'hanya', 'lebih', 'perlu', 'interaksi', 'dengan', 'peserta']","['acara', 'terlaksana', 'baik', 'sukses', 'pengalaman', 'diberikan', 'bermanfaat', 'mungkin', 'ke depannya', 'perlu', 'interaksi', 'peserta']",acara terlaksana baik sukses pengalaman diberikan bermanfaat mungkin ke depannya perlu interaksi peserta,1,Kesuksesan Acara,Positif,,,,,,,
"Acara berjalan dengan lancar		",Acara berjalan dengan lancar,acara berjalan dengan lancar,"['acara', 'berjalan', 'dengan', 'lancar']","['acara', 'terlaksana', 'dengan', 'sukses']","['acara', 'terlaksana', 'sukses']",acara terlaksana sukses,1,Kesuksesan Acara,Positif,,,,,,,
"acara berjalan dengan lancar, dan acara ini memiliki banyak manfaat		",acara berjalan dengan lancar dan acara ini memiliki banyak manfaat,acara berjalan dengan lancar dan acara ini memiliki banyak manfaat,"['acara', 'berjalan', 'dengan', 'lancar', 'dan', 'acara', 'ini', 'memiliki', 'banyak', 'manfaat']","['acara', 'terlaksana', 'dengan', 'sukses', 'dan', 'acara', 'ini', 'punya', 'banyak', 'manfaat']","['acara', 'terlaksana', 'sukses', 'acara', 'punya', 'banyak', 'manfaat']",acara terlaksana sukses acara punya banyak manfaat,1,Kesuksesan Acara,Positif,,,,,,,
"Acara berjalan lancar dan baik		",Acara berjalan lancar dan baik,acara berjalan lancar dan baik,"['acara', 'berjalan', 'lancar', 'dan', 'baik']","['acara', 'terlaksana', 'sukses', 'dan', 'baik']","['acara', 'terlaksana', 'sukses', 'baik']",acara terlaksana sukses baik,1,Kesuksesan Acara,Positif,,,,,,,
"Acara berlangsung dengan baik		",Acara berlangsung dengan baik,acara berlangsung dengan baik,"['acara', 'berlangsung', 'dengan', 'baik']","['acara', 'dilaksanakan', 'dengan', 'baik']","['acara', 'dilaksanakan', 'baik']",acara dilaksanakan baik,1,Kesuksesan Acara,Positif,,,,,,,
"acara berlangsung dengan lancar dan sangat baik		",acara berlangsung dengan lancar dan sangat baik,acara berlangsung dengan lancar dan sangat baik,"['acara', 'berlangsung', 'dengan', 'lancar', 'dan', 'sangat', 'baik']","['acara', 'dilaksanakan', 'dengan', 'sukses', 'dan', 'sangat', 'baik']","['acara', 'dilaksanakan', 'sukses', 'baik']",acara dilaksanakan sukses baik,1,Kesuksesan Acara,Positif,,,,,,,
"Acara berlangsung sangat baik dan menginspirasi		",Acara berlangsung sangat baik dan menginspirasi,acara berlangsung sangat baik dan menginspirasi,"['acara', 'berlangsung', 'sangat', 'baik', 'dan', 'menginspirasi']","['acara', 'dilaksanakan', 'sangat', 'baik', 'dan', 'inspirasi']","['acara', 'dilaksanakan', 'baik', 'inspirasi']",acara dilaksanakan baik inspirasi,1,Kesuksesan Acara,Positif,,,,,,,
"Acara dapat lebih menarik lagi		",Acara dapat lebih menarik lagi,acara dapat lebih menarik lagi,"['acara', 'dapat', 'lebih', 'menarik', 'lagi']","['acara', 'dapat', 'lebih', 'seru', 'lagi']","['acara', 'seru']",acara seru,1,Kesuksesan Acara,Positif,,,,,,,
"Acara FKBMIK terselenggara dengan baik, narasumber membawa materi dengan jelas dan menarik.		",Acara FKBMIK terselenggara dengan baik narasumber membawa materi dengan jelas dan menarik,acara fkbmik terselenggara dengan baik narasumber membawa materi dengan jelas dan menarik,"['acara', 'fkbmik', 'terselenggara', 'dengan', 'baik', 'narasumber', 'membawa', 'materi', 'dengan', 'jelas', 'dan', 'menarik']","['acara', 'fkbmik', 'terselenggara', 'dengan', 'baik', 'narasumber', 'membawa', 'materi', 'dengan', 'jelas', 'dan', 'seru']","['acara', 'fkbmik', 'terselenggara', 'baik', 'narasumber', 'membawa', 'materi', 'jelas', 'seru']",acara fkbmik terselenggara baik narasumber membawa materi jelas seru,2,Materi dan Narasumber,Positif,,,,,,,
"Acara hari ini berjalan lancar dan materi yang dijelaskan mudah dipahami.		",Acara hari ini berjalan lancar dan materi yang dijelaskan mudah dipahami,acara hari ini berjalan lancar dan materi yang dijelaskan mudah dipahami,"['acara', 'hari', 'ini', 'berjalan', 'lancar', 'dan', 'materi', 'yang', 'dijelaskan', 'mudah', 'dipahami']","['acara', 'hari', 'ini', 'terlaksana', 'sukses', 'dan', 'materi', 'yang', 'dijelaskan', 'mudah', 'paham']","['acara', 'hari', 'terlaksana', 'sukses', 'materi', 'dijelaskan', 'mudah', 'paham']",acara hari terlaksana sukses materi dijelaskan mudah paham,2,Materi dan Narasumber,Positif,,,,,,,
"Untuk kedepannya lebih banyak didatangkan narasumber2 generasi millenial yang menginspirasi		",Untuk kedepannya lebih banyak didatangkan narasumber generasi millenial yang menginspirasi,untuk kedepannya lebih banyak didatangkan narasumber generasi millenial yang menginspirasi,"['untuk', 'kedepannya', 'lebih', 'banyak', 'didatangkan', 'narasumber', 'generasi', 'millenial', 'yang', 'menginspirasi']","['untuk', 'ke depannya', 'lebih', 'banyak', 'undang', 'narasumber', 'generasi', 'milenial', 'yang', 'inspirasi']","['ke depannya', 'banyak', 'undang', 'narasumber', 'generasi', 'milenial', 'inspirasi']",ke depannya banyak undang narasumber generasi milenial inspirasi,2,Materi dan Narasumber,Positif,,,,,,,
"acara hari ini sangat bermanfaat dan tidak membosankan		",acara hari ini sangat bermanfaat dan tidak membosankan,acara hari ini sangat bermanfaat dan tidak membosankan,"['acara', 'hari', 'ini', 'sangat', 'bermanfaat', 'dan', 'tidak', 'membosankan']","['acara', 'hari', 'ini', 'sangat', 'bermanfaat', 'dan', 'tidak', 'bosan']","['acara', 'hari', 'bermanfaat', 'bosan']",acara hari bermanfaat bosan,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Acara ini berjalan dengan lancar, semoga sukses terus		",Acara ini berjalan dengan lancar semoga sukses terus,acara ini berjalan dengan lancar semoga sukses terus,"['acara', 'ini', 'berjalan', 'dengan', 'lancar', 'semoga', 'sukses', 'terus']","['acara', 'ini', 'terlaksana', 'dengan', 'sukses', 'semoga', 'sukses', 'terus']","['acara', 'terlaksana', 'sukses', 'semoga', 'sukses', 'terus']",acara terlaksana sukses semoga sukses terus,3,Harapan Acara,Positif,,,,,,,
"Acara ini sangat bermanfaat terutama untuk kaum muda untuk bisa terus berkembang di era teknologi ini.		",Acara ini sangat bermanfaat terutama untuk kaum muda untuk bisa terus berkembang di era teknologi ini,acara ini sangat bermanfaat terutama untuk kaum muda untuk bisa terus berkembang di era teknologi ini,"['acara', 'ini', 'sangat', 'bermanfaat', 'terutama', 'untuk', 'kaum', 'muda', 'untuk', 'bisa', 'terus', 'berkembang', 'di', 'era', 'teknologi', 'ini']","['acara', 'ini', 'sangat', 'bermanfaat', 'terutama', 'untuk', 'kaum', 'muda', 'untuk', 'bisa', 'terus', 'tumbuh', 'di', 'era', 'teknologi', 'ini']","['acara', 'bermanfaat', 'terutama', 'kaum', 'muda', 'terus', 'tumbuh', 'era', 'teknologi']",acara bermanfaat terutama kaum muda terus tumbuh era teknologi,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Acara ini sangat bermanfaat untuk generasi Z untuk mengembangkan potensi diri yang dimiliki dengan memanfaatkan teknologi yang ada saat ini dengan baik dan bijak sehingga dapat menguntungkan untuk diri sendiri maupun orang lain.		",Acara ini sangat bermanfaat untuk generasi Z untuk mengembangkan potensi diri yang dimiliki dengan memanfaatkan teknologi yang ada saat ini dengan baik dan bijak sehingga dapat menguntungkan untuk diri sendiri maupun orang lain,acara ini sangat bermanfaat untuk generasi z untuk mengembangkan potensi diri yang dimiliki dengan memanfaatkan teknologi yang ada saat ini dengan baik dan bijak sehingga dapat menguntungkan untuk diri sendiri maupun orang lain,"['acara', 'ini', 'sangat', 'bermanfaat', 'untuk', 'generasi', 'z', 'untuk', 'mengembangkan', 'potensi', 'diri', 'yang', 'dimiliki', 'dengan', 'memanfaatkan', 'teknologi', 'yang', 'ada', 'saat', 'ini', 'dengan', 'baik', 'dan', 'bijak', 'sehingga', 'dapat', 'menguntungkan', 'untuk', 'diri', 'sendiri', 'maupun', 'orang', 'lain']","['acara', 'ini', 'sangat', 'bermanfaat', 'untuk', 'generasi', 'z', 'untuk', 'meningkat', 'potensi', 'diri', 'yang', 'milik', 'dengan', 'manfaat', 'teknologi', 'yang', 'ada', 'saat', 'ini', 'dengan', 'baik', 'dan', 'bijak', 'sehingga', 'dapat', 'untung', 'untuk', 'diri', 'sendiri', 'maupun', 'narasumber', 'lain']","['acara', 'bermanfaat', 'generasi', 'z', 'meningkat', 'potensi', 'diri', 'milik', 'manfaat', 'teknologi', 'baik', 'bijak', 'untung', 'diri', 'sendiri', 'maupun', 'narasumber']",acara bermanfaat generasi z meningkat potensi diri milik manfaat teknologi baik bijak untung diri sendiri maupun narasumber,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Acara ini sudah bagus, mungkin untuk kedepannya diberikan materi yang lebih banyak		",Acara ini sudah bagus mungkin untuk kedepannya diberikan materi yang lebih banyak,acara ini sudah bagus mungkin untuk kedepannya diberikan materi yang lebih banyak,"['acara', 'ini', 'sudah', 'bagus', 'mungkin', 'untuk', 'kedepannya', 'diberikan', 'materi', 'yang', 'lebih', 'banyak']","['acara', 'ini', 'sudah', 'keren', 'mungkin', 'untuk', 'ke depannya', 'diberikan', 'materi', 'yang', 'lebih', 'banyak']","['acara', 'keren', 'mungkin', 'ke depannya', 'diberikan', 'materi', 'banyak']",acara keren mungkin ke depannya diberikan materi banyak,3,Harapan Acara,Positif,,,,,,,
"acara nya berjalan dengan lancar		",acara nya berjalan dengan lancar,acara nya berjalan dengan lancar,"['acara', 'nya', 'berjalan', 'dengan', 'lancar']","['acara', 'nya', 'terlaksana', 'dengan', 'sukses']","['acara', 'terlaksana', 'sukses']",acara terlaksana sukses,1,Kesuksesan Acara,Positif,,,,,,,
"Acara nya keren dengan para pembicara yang hebat		",Acara nya keren dengan para pembicara yang hebat,acara nya keren dengan para pembicara yang hebat,"['acara', 'nya', 'keren', 'dengan', 'para', 'pembicara', 'yang', 'hebat']","['acara', 'nya', 'keren', 'dengan', 'para', 'narasumber', 'yang', 'keren']","['acara', 'keren', 'narasumber', 'keren']",acara keren narasumber keren,2,Materi dan Narasumber,Positif,,,,,,,
"Acara nya sangat bermanfaat		",Acara nya sangat bermanfaat,acara nya sangat bermanfaat,"['acara', 'nya', 'sangat', 'bermanfaat']","['acara', 'nya', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']",acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Acara nya sudah bagus mengundang narasumber-narasumber yang berwawasan luas		",Acara nya sudah bagus mengundang narasumbernarasumber yang berwawasan luas,acara nya sudah bagus mengundang narasumbernarasumber yang berwawasan luas,"['acara', 'nya', 'sudah', 'bagus', 'mengundang', 'narasumbernarasumber', 'yang', 'berwawasan', 'luas']","['acara', 'nya', 'sudah', 'keren', 'undang', 'narasumber', 'yang', 'pengalaman', 'luas']","['acara', 'keren', 'undang', 'narasumber', 'pengalaman', 'luas']",acara keren undang narasumber pengalaman luas,2,Materi dan Narasumber,Positif,,,,,,,
"acara sangat bagus dan menginspirasi		",acara sangat bagus dan menginspirasi,acara sangat bagus dan menginspirasi,"['acara', 'sangat', 'bagus', 'dan', 'menginspirasi']","['acara', 'sangat', 'keren', 'dan', 'inspirasi']","['acara', 'keren', 'inspirasi']",acara keren inspirasi,4,Antusiasme Peserta,Positif,,,,,,,
"acara sangat menarik dan bermanfaat		",acara sangat menarik dan bermanfaat,acara sangat menarik dan bermanfaat,"['acara', 'sangat', 'menarik', 'dan', 'bermanfaat']","['acara', 'sangat', 'seru', 'dan', 'bermanfaat']","['acara', 'menarik', 'bermanfaat']",acara menarik bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Acara sangat menarik, mungkin lebih ditingkat segi promosi untuk umum.		",Acara sangat menarik mungkin lebih ditingkat segi promosi untuk umum,acara sangat menarik mungkin lebih ditingkat segi promosi untuk umum,"['acara', 'sangat', 'menarik', 'mungkin', 'lebih', 'ditingkat', 'segi', 'promosi', 'untuk', 'umum']","['acara', 'sangat', 'seru', 'mungkin', 'lebih', 'ditingkatkan', 'segi', 'promosi', 'untuk', 'umum']","['acara', 'seru', 'mungkin', 'ditingkatkan', 'segi', 'promosi', 'umum']",acara seru mungkin ditingkatkan segi promosi umum,4,Antusiasme Peserta,Positif,,,,,,,
"Acara sangat menarik, tidak ada yang perlu dikritik		",Acara sangat menarik tidak ada yang perlu dikritik,acara sangat menarik tidak ada yang perlu dikritik,"['acara', 'sangat', 'menarik', 'tidak', 'ada', 'yang', 'perlu', 'dikritik']","['acara', 'sangat', 'seru', 'tidak', 'ada', 'yang', 'perlu', 'kritik']","['acara', 'seru', 'perlu', 'kritik']",acara seru perlu kritik,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Acara sangat sangat sangat bagus		",Acara sangat sangat sangat bagus,acara sangat sangat sangat bagus,"['acara', 'sangat', 'sangat', 'sangat', 'bagus']","['acara', 'sangat', 'sangat', 'sangat', 'keren']","['acara', 'keren']",acara keren,1,Kesuksesan Acara,Positif,,,,,,,
"acara sudah bagus dan kondusif		",acara sudah bagus dan kondusif,acara sudah bagus dan kondusif,"['acara', 'sudah', 'bagus', 'dan', 'kondusif']","['acara', 'sudah', 'keren', 'dan', 'kondusif']","['acara', 'keren', 'kondusif']",acara keren kondusif,1,Kesuksesan Acara,Positif,,,,,,,
"Acara sudah bagus dan mantap		",Acara sudah bagus dan mantap,acara sudah bagus dan mantap,"['acara', 'sudah', 'bagus', 'dan', 'mantap']","['acara', 'sudah', 'keren', 'dan', 'baik']","['acara', 'keren', 'baik']",acara keren baik,1,Kesuksesan Acara,Positif,,,,,,,
"Acara sudah baik, hanya masalah jaringan		",Acara sudah baik hanya masalah jaringan,acara sudah baik hanya masalah jaringan,"['acara', 'sudah', 'baik', 'hanya', 'masalah', 'jaringan']","['acara', 'sudah', 'baik', 'hanya', 'kendala', 'jaringan']","['acara', 'baik', 'kendala', 'jaringan']",acara baik kendala jaringan,5,Teknis dan Jaringan,Negatif,,,,,,,
"acara sudah berjalan baik		",acara sudah berjalan baik,acara sudah berjalan baik,"['acara', 'sudah', 'berjalan', 'baik']","['acara', 'sudah', 'terlaksana', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
